epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.174,1.08287,1.91207,0.96989,0.8011,0.80732,0.84684,0.70062,0.66077,0.64707,0.84521,0.00020828,0.00020828,0.00020828
2,1439.14,0.77426,0.8462,0.88472,0.91503,0.9002,0.9516,0.80887,0.59445,0.48505,0.83304,0.000334124,0.000334124,0.000334124
3,2105,0.72975,0.71203,0.87495,0.9417,0.91612,0.96511,0.83331,0.55362,0.42056,0.82436,0.000377468,0.000377468,0.000377468
4,2767.92,0.68218,0.62417,0.86696,0.93826,0.92765,0.96183,0.84252,0.52394,0.38779,0.81894,0.00025375,0.00025375,0.00025375
5,3429.01,0.63823,0.55731,0.85876,0.94571,0.93247,0.97258,0.86012,0.50491,0.361,0.8138,0.00013,0.00013,0.00013
